연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
214,2020-04-10,코로나19 안심병원 운영현황 점검 간담회,"45,000",3,마리오세프,카드,
215,2020-04-10,시정 홍보 기자 간담회,"102,000",3,미식가,카드,
216,2020-04-12,휴일 현안업무 추진 협의 오찬,"14,000",2,김강심명품가,카드,
217,2020-04-13,민간공원 시위 대응 업무협조 간담,"382,300",43,홍문각 외2,카드,
218,2020-04-13,제21대 국회의원 선거 업무추진 직원 격려,"106,000",7,칠우대패삼겹살,카드,
219,2020-04-14,시 주요현안 협의 간부회의 추진,"200,000",40,시티매니저,카드,
220,2020-04-14,자가격리자 선거 관련 기자 간담회,"54,000",2,미식가,카드,
221,2020-04-14,시정 주요 현안 해법 모색 오찬 간담회,"70,000",3,매월흑염소가든,카드,
222,2020-04-14,하남산단 노동자 작업복 세탁소 추진방안 논의 간담회,"126,000",5,하남목장,카드,
223,2020-04-17,광주홍보 협업 추진사항 논의 간담회,"56,000",3,가화원,카드,
224,2020-04-19,지방공휴일 직원복무 관련 의회 업무협의,"127,000",5,나룻배,카드,
225,2020-04-20,코로나19 대응상황 등 홍보 기자 간담,"144,000",8,미식가,카드,
226,2020-04-21,코로나19로 인한 시민불편 사항 해법 모색방안 논의 간담회,"230,000",8,하해가,카드,
227,2020-04-21,원문공개 관련 업무 협의 간담,"183,000",9,옥과한우촌,카드,
228,2020-04-22,결산검사 관련 업무협의 간담회,"133,000",5,향초밥,카드,
229,2020-04-23,코로나19 중증응급진료센터 운영 협의 간담,"55,000",2,한식경,카드,
230,2020-04-23,코로나 장기대응 현안업무 지정 협의간담,"92,000",8,남해쭈꾸미마을,카드,
231,2020-04-24,공유재산관리 업무 협의 간담,"28,000",3,상무바지락칼국수,카드,
232,2020-04-24,불필요한 일버리기 관련 업무 협의 간담,"137,440",5,빕스,카드,
233,2020-04-24,코로나19 민생안정을 위한 이행강제금 납부 유예방안 간담회,"144,000",5,해남한우집,카드,
234,2020-04-24,코로나19 위기극복 꾸러미제작 협의 간담,"150,000",8,미식가,카드,
235,2020-04-24,초과수당 관련 업무 협의 간담,"150,000",6,동원식육식당,카드,
236,2020-04-27,시민사회단체와의 간담회,"104,000",6,청기와,카드,
237,2020-04-28,국공립어린이집 확충으로 아이 낳아 키우기 좋은 광주 만들기 추진방안 간담회,"277,000",10,옥,카드,
238,2020-04-28,사회적 거리두기 및 일제방역 범시민운동 추진방안 간담회,"454,000",16,명지원명가,카드,
239,2020-04-28,코로나19 위기극복 시책 등 기자 홍보 간담,"54,000",2,칸세이스시,카드,
240,2020-04-28,공무원노조 예비교섭 등 현안협의 간담,"80,500",7,바른초밥,카드,
241,2020-04-29,천막농성 등 집회관련 동향협의 간담,"102,000",8,섬진강다슬기,카드,
242,2020-04-29,청년문화 일자리 창출 방안 간담회,"365,000",13,경도,카드,
243,2020-04-29,시정현안 협력 및 소통을 위한 만찬간담,"430,000",15,진도예가,카드,
