연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
27,총무과,3/19,코로나19 비상근무 직원 격려 간담회 경비 지출,언양불고기,28,총무과,3/20
28,총무과,3/20,코로나19 비상근무 직원 격려 간담회 경비 지출,개정,29,총무과,3/21
29,총무과,3/20,코로나19 비상근무 직원 격려 간담회 경비 지출,오히츠,30,총무과,3/21
30,총무과,3/21,코로나19 비상근무 직원 격려 간담회 경비 지출,오복미역,31,총무과,3/22
31,총무과,3/21,코로나19 비상근무 직원 격려 간담회 경비 지출,뜨돈,32,총무과,3/22
32,총무과,3/22,코로나19 비상근무 직원 격려 간담회 경비 지출,순남시래기,33,총무과,3/23
33,총무과,3/22,코로나19 비상근무 직원 격려 간담회 경비 지출,피에프창,34,총무과,3/23
34,총무과,3/23,코로나19 비상근무 직원 격려 간담회 경비 지출,오히츠,35,총무과,3/24
35,총무과,3/24,코로나19 비상근무 직원 격려 간담회 경비 지출,수복식당,36,총무과,3/25
36,총무과,3/24,코로나19 비상근무 직원 격려 간담회 경비 지출,주식회사 카페동이,37,총무과,3/25
37,총무과,3/25,코로나19 비상근무 직원 격려 간담회 경비 지출,언양불고기,38,총무과,3/26
38,총무과,3/25,코로나19 비상근무 직원 격려 간담회 경비 지출,브라더한정식도시락,39,총무과,3/26
39,총무과,3/26,코로나19 비상근무 직원 격려 간담회 경비 지출,전주식콩나물해장국,40,총무과,3/27
1,총무과,"2/2   
 2/2",코로나19 비상근무 직원 격려 경비 지출(시장),교촌치킨 외 14,2,총무과,2/3
2,총무과,2/3,교육바우처 협약업무 직원 격려 간담회 경비 지출(시장),동심각,3,총무과,2/4
3,총무과,2/4,내방객 접대용 음료 등 구입(시장),오케이마트 외1,4,총무과,2/5
4,총무과,2/8,코로나19 비상근무 직원 격려 경비 지출(시장),에스파스,5,총무과,2/9
